Record,Fish_ID,Tank,Treat_dose,Treat_temp,Gill_score,Amoeba_abundance
389,Fish_298,A5,0,8,3,12.32
373,Fish_286,A5,0,8,3,13.61
382,Fish_292,A5,0,8,3,13.95
320,Fish_256,A7,750,8,1,6.29
326,Fish_262,A7,750,8,2,7
339,Fish_268,A7,750,8,0,7.46
188,Fish_181,A12,1000,8,2,1.22
194,Fish_187,A12,1000,8,3,8.01
200,Fish_193,A12,1000,8,3,8.03
347,Fish_271,A6,1250,8,0,0
353,Fish_277,A6,1250,8,0,0
363,Fish_283,A6,1250,8,2,9.56
415,Fish_313,A1,0,12,3,12.73
405,Fish_307,A1,0,12,3,13.38
399,Fish_301,A1,0,12,3,14.07
243,Fish_211,A10,750,12,1,0
250,Fish_217,A10,750,12,3,5.53
258,Fish_223,A10,750,12,1,8.47
278,Fish_232,A9,1000,12,0,0
286,Fish_238,A9,1000,12,1,0.89
267,Fish_226,A9,1000,12,1,5.36
428,Fish_316,A2,1250,12,0,1.11
434,Fish_322,A2,1250,12,2,3.66
440,Fish_328,A2,1250,12,0,5.61
303,Fish_247,A8,0,16,2,8.99
297,Fish_241,A8,0,16,3,11.31
312,Fish_253,A8,0,16,3,13.6
474,Fish_343,A3,750,16,1,10.1
461,Fish_337,A3,750,16,2,11.52
458,Fish_334,A3,750,16,3,12.36
496,Fish_352,A4,1000,16,2,8.74
482,Fish_346,A4,1000,16,3,8.85
503,Fish_358,A4,1000,16,3,11.38
214,Fish_196,A11,1250,16,1,0
223,Fish_202,A11,1250,16,1,0
230,Fish_208,A11,1250,16,2,5.06
